artists,title,link
Kupla,Kingdom in Blue,https://lofigirl.com/wp-content/uploads/2022/10/Kingdom-in-Blue.zip
DLJ/Blumen,La Hague,https://lofigirl.com/wp-content/uploads/2022/11/La-Hague.zip
Tom Doolie,Land of Calm,https://lofigirl.com/wp-content/uploads/2022/11/Land-of-Calm.zip
lilac,Lanterns,https://lofigirl.com/wp-content/uploads/2022/10/Lanterns.zip
TABAL,Last Light,https://lofigirl.com/wp-content/uploads/2022/11/Last-Light-MP3.zip
Two Scents,Lately,https://lofigirl.com/wp-content/uploads/2023/01/Lately.zip
goosetaf,Latibule,https://lofigirl.com/wp-content/uploads/2022/11/Latibule.zip
kokoro  C4C,L'aventure EP,https://lofigirl.com/wp-content/uploads/2022/10/LAventure.zip
S N U G,Layover,https://lofigirl.com/wp-content/uploads/2022/10/MP3-S-N-U-G-Layover.zip
Lofi Records,Lazy Sunday,https://lofigirl.com/wp-content/uploads/2022/10/Lazy-Sunday-3.zip
Tibeauthetraveler  reysi,Leaving This Place,https://lofigirl.com/wp-content/uploads/2022/10/Tibeauthetraveler-x-reysi-Leaving-This-Place.zip
kanisan  Mau,Les jours d’après,https://lofigirl.com/wp-content/uploads/2022/10/Kanisan-x-Mau-Les-jours-dapres.zip
Kupla,Life Forms,https://lofigirl.com/wp-content/uploads/2022/10/Life-Forms.zip
Hoogway,Life Is For Living,https://lofigirl.com/wp-content/uploads/2024/01/Life-Is-For-Living.zip
Chau Sara,Lightsaber Bar,https://lofigirl.com/wp-content/uploads/2022/11/Chau-Sara-Lightsaber.zip
swink,Like a Necessity,https://lofigirl.com/wp-content/uploads/2023/04/Like-a-necessity.zip
møndberg,Living Free,https://lofigirl.com/wp-content/uploads/2022/11/mondberg-Living-Free.zip
Lofi Girl,Lofi Girl - Christmas 2023 🎄,https://lofigirl.com/wp-content/uploads/2024/01/Christmas-2023.zip
Lofi Records,Lonely Days,https://lofigirl.com/wp-content/uploads/2023/01/Lonely-Nights.zip
Squeeda,Lost World,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Squeeda-Lost-World.zip
kudo,love you two,https://lofigirl.com/wp-content/uploads/2022/11/love-you-two.zip
Ticofaces,Lunar Isle,https://lofigirl.com/wp-content/uploads/2022/10/MP3-ticofaces-Lunar-Isle.zip
Loafy Building,Maru,https://lofigirl.com/wp-content/uploads/2022/10/Loafy-Building-Maru.zip
L'Outlander,Massa,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Loutlander-Massa.zip
no one's perfect,Measures Of Time,https://lofigirl.com/wp-content/uploads/2022/11/no-ones-perfect-Measures-of-Time.zip
Raimu,Meditative Flow,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Raimu-Mediative-Flow.zip
Tomcbumpz,Melodic Nostalgic,https://lofigirl.com/wp-content/uploads/2022/11/Melodic-Nostalgic.zip
Kupla,Melody Mountain,https://lofigirl.com/wp-content/uploads/2022/11/Melody-Mountain.zip
teafourtwo  No spirit,Memories We Made,https://lofigirl.com/wp-content/uploads/2022/11/Memories-we-made.zip
Living Room,Memories,https://lofigirl.com/wp-content/uploads/2022/11/Living-Room-Memories.zip
Ky Akasha,Memory Within A Dream,https://lofigirl.com/wp-content/uploads/2022/10/Memory-within-A-dream.zip
Downtown Binary,Metropolis,https://lofigirl.com/wp-content/uploads/2023/11/Metropolis.zip
Idylla,midnight at the lake,https://lofigirl.com/wp-content/uploads/2024/01/midnight-at-the-lake.zip
Softy  Mondo Loops,Midnight Gazing,https://lofigirl.com/wp-content/uploads/2022/11/Midnight-Gazing.zip
Late Night Tones,Midnight In Nashville,https://lofigirl.com/wp-content/uploads/2024/01/Midnight-In-Nashville.zip
Tenno,Mind Temple,https://lofigirl.com/wp-content/uploads/2022/10/Tenno-Mind-Temple.zip
nogymx,Mirage of the Mind,https://lofigirl.com/wp-content/uploads/2022/11/Nogymx-Mirage-of-the-Mind.zip
Yasumu/Plant Guy,Mirror of Time,https://lofigirl.com/wp-content/uploads/2022/11/Mirror-of-Time.zip
kanisan,"mist, shadows & i",https://lofigirl.com/wp-content/uploads/2022/10/Kanissan-mist-shadows-i.zip
noni,momentary,https://lofigirl.com/wp-content/uploads/2022/11/noni-momentary.zip
Hoogway  George Toft - Nowun,Moments To Keep,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Hoogway-x-Nowun-Moments-To-Keep.zip
Leavv/Ivylake,Moonfern,https://lofigirl.com/wp-content/uploads/2022/11/Ivylake-Moonfern.zip
S N U G,Moonglow,https://lofigirl.com/wp-content/uploads/2022/11/Moonglow.zip
Worldtraveller  Max Merseny,Morning Coffee,https://lofigirl.com/wp-content/uploads/2023/04/Morning-coffee.zip
Lofi Records,Morning Coffee,https://lofigirl.com/wp-content/uploads/2022/11/Morning-Coffee.zip
Tibeauthetraveler,Motions,https://lofigirl.com/wp-content/uploads/2022/11/Motions.zip
Tibeauthetraveler,Moving On,https://lofigirl.com/wp-content/uploads/2023/01/Moving-on.zip
Dimension32,Mutations,https://lofigirl.com/wp-content/uploads/2022/12/Mutations.zip
Elijah Lee,My Memoir,https://lofigirl.com/wp-content/uploads/2022/11/Elijah-Lee-My-Memoir.zip
Juliàn,Mysteries Of Life,https://lofigirl.com/wp-content/uploads/2024/01/Mysteries-Of-Life.zip
Tom Doolie,Naoko,https://lofigirl.com/wp-content/uploads/2022/10/Naoko.zip
Mondo Loops  L'aiguille,Nature’s Beauty,https://lofigirl.com/wp-content/uploads/2022/11/Mondo-Loops-x-Laiguille-Natures-Beauty.zip
Eugenio Izzi,Necessary Changes,https://lofigirl.com/wp-content/uploads/2022/11/eugenio-izzi-Necessary-Changes.zip
steezy prime,never alone,https://lofigirl.com/wp-content/uploads/2022/10/Steezy-prime-never-alone.zip
Osaki  Tibeauthetraveler,New Beginnings,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Osaki-x-Thibeauthetraveler-New-Beginnings.zip
jhove,new beginnings,https://lofigirl.com/wp-content/uploads/2022/10/jhove-new-beginnings.zip
iamalex  Felty,New Day,https://lofigirl.com/wp-content/uploads/2022/11/iamlex-x-felty-New-Day.zip
